x y label
-4.9979124 -2.337932 5
-4.9979124 -2.2379322 5
-4.9979124 -2.1379323 5
-4.9979124 -2.0379324 5
-4.9979124 -1.9379324 5
-4.9979124 -1.8379323 5
-4.9979124 -1.7379323 5
-4.9979124 -1.6379323 5
-4.9979124 -1.5379323 5
-4.9979124 -1.4379323 5
-4.9979124 -1.3379322 5
-4.9979124 -1.2379322 5
-4.9979124 -1.1379322 5
-4.9979124 -1.0379322 5
-4.9979124 -0.93793213 5
-4.9979124 -0.8379321 5
-4.9979124 -0.7379321 5
-4.9979124 -0.63793206 5
-4.9979124 -0.53793204 5
-4.9979124 -0.43793204 5
-4.9979124 -0.33793205 4
-4.9979124 -0.23793206 4
-4.9979124 -0.13793206 4
-4.9979124 -0.03793206 4
-4.9979124 0.06206794 4
-4.9979124 0.16206795 4
-4.9979124 0.26206794 4
-4.9979124 0.36206794 4
-4.9979124 0.46206793 4
-4.9979124 0.5620679 4
-4.9979124 0.66206795 4
-4.9979124 0.762068 4
-4.9979124 0.862068 4
-4.9979124 0.962068 4
-4.9979124 1.062068 4
-4.9979124 1.162068 4
-4.9979124 1.262068 4
-4.9979124 1.362068 4
-4.9979124 1.4620681 4
-4.9979124 1.5620681 4
-4.9979124 1.6620681 4
-4.9979124 1.7620682 4
-4.9979124 1.8620682 4
-4.9979124 1.9620682 4
-4.9979124 2.0620682 4
-4.9979124 2.1620681 4
-4.9979124 2.262068 4
-4.9979124 2.362068 4
-4.9979124 2.4620678 4
-4.9979124 2.5620677 4
-4.9979124 2.6620677 4
-4.9979124 2.7620676 4
-4.9979124 2.8620675 4
-4.9979124 2.9620674 4
-4.9979124 3.0620673 4
-4.9979124 3.1620672 4
-4.9979124 3.262067 4
-4.9979124 3.362067 4
-4.9979124 3.462067 4
-4.9979124 3.5620668 4
-4.9979124 3.6620667 4
-4.9979124 3.7620666 4
-4.9979124 3.8620665 4
-4.9979124 3.9620664 4
-4.9979124 4.0620666 4
-4.9979124 4.1620665 4
-4.9979124 4.2620664 4
-4.9979124 4.3620663 4
-4.9979124 4.462066 4
-4.9979124 4.562066 4
-4.9979124 4.662066 4
-4.9979124 4.762066 4
-4.9979124 4.862066 4
-4.9979124 4.9620657 4
-4.9979124 5.0620656 4
-4.9979124 5.1620655 4
-4.9979124 5.2620654 4
-4.9979124 5.3620653 4
-4.9979124 5.462065 4
-4.9979124 5.562065 4
-4.9979124 5.662065 4
-4.9979124 5.762065 4
-4.9979124 5.862065 4
-4.9979124 5.9620647 4
-4.9979124 6.0620646 4
-4.9979124 6.1620646 4
-4.9979124 6.2620645 4
-4.8979125 -5.1379294 5
-4.8979125 -5.0379295 5
-4.8979125 -4.9379296 5
-4.8979125 -4.8379297 5
-4.8979125 -4.73793 5
-4.8979125 -4.63793 5
-4.8979125 -4.53793 5
-4.8979125 -4.43793 5
-4.8979125 -4.33793 5
-4.8979125 -4.2379303 5
-4.8979125 -4.1379304 5
-4.8979125 -4.0379305 5
-4.8979125 -3.9379306 5
-4.8979125 -3.8379307 5
-4.8979125 -3.7379308 5
-4.8979125 -3.6379309 5
-4.8979125 -3.537931 5
-4.8979125 -3.437931 5
-4.8979125 -3.3379312 5
-4.8979125 -3.2379313 5
-4.8979125 -3.1379313 5
-4.8979125 -3.0379314 5
-4.8979125 -2.9379315 5
-4.8979125 -2.8379316 5
-4.8979125 -2.7379317 5
-4.8979125 -2.6379318 5
-4.8979125 -2.537932 5
-4.8979125 -2.437932 5
-4.8979125 -2.337932 5
-4.8979125 -2.2379322 5
-4.8979125 -2.1379323 5
-4.8979125 -2.0379324 5
-4.8979125 -1.9379324 5
-4.8979125 -1.8379323 5
-4.8979125 -1.7379323 5
-4.8979125 -1.6379323 5
-4.8979125 -1.5379323 5
-4.8979125 -1.4379323 5
-4.8979125 -1.3379322 5
-4.8979125 -1.2379322 5
-4.8979125 -1.1379322 5
-4.8979125 -1.0379322 5
-4.8979125 -0.93793213 5
-4.8979125 -0.8379321 5
-4.8979125 -0.7379321 5
-4.8979125 -0.63793206 5
-4.8979125 -0.53793204 5
-4.8979125 -0.43793204 5
-4.8979125 -0.33793205 4
-4.8979125 -0.23793206 4
-4.8979125 -0.13793206 4
-4.8979125 -0.03793206 4
-4.8979125 0.06206794 4
-4.8979125 0.16206795 4
-4.8979125 0.26206794 4
-4.8979125 0.36206794 4
-4.8979125 0.46206793 4
-4.8979125 0.5620679 4
-4.8979125 0.66206795 4
-4.8979125 0.762068 4
-4.8979125 0.862068 4
-4.8979125 0.962068 4
-4.8979125 1.062068 4
-4.8979125 1.162068 4
-4.8979125 1.262068 4
-4.8979125 1.362068 4
-4.8979125 1.4620681 4
-4.8979125 1.5620681 4
-4.8979125 1.6620681 4
-4.8979125 1.7620682 4
-4.8979125 1.8620682 4
-4.8979125 1.9620682 4
-4.8979125 2.0620682 4
-4.8979125 2.1620681 4
-4.8979125 2.262068 4
-4.8979125 2.362068 4
-4.8979125 2.4620678 4
-4.8979125 2.5620677 4
-4.8979125 2.6620677 4
-4.8979125 2.7620676 4
-4.8979125 2.8620675 4
-4.8979125 2.9620674 4
-4.8979125 3.0620673 4
-4.8979125 3.1620672 4
-4.8979125 3.262067 4
-4.8979125 3.362067 4
-4.8979125 3.462067 4
